"runs","param1","param2","param3","sc1","sc2","sc3"
1,10,10,10,10676.0449785562,10711.4933673766,10691.5375731245
2,15,15,15,11714.6762851273,11730.9465327769,11726.0351444402
3,20,20,20,12519.6598208593,12528.796404605,12525.5632488363
4,25,25,25,13187.0289236657,13191.4980009323,13189.8303638189
5,30,30,30,13759.6482074955,13761.489109863,13760.7958743709
6,35,35,35,14262.5196066845,14263.08767863,14262.8795258843
7,40,40,40,14711.6139647588,14711.6997691761,14711.6729685688
8,45,45,45,15117.806929549,15117.7951798522,15117.8014511114
9,50,50,50,15488.865539718,15488.865539718,15488.865539718
