basket,species,biomass
1,s_1,25.477765016884465
1,s_2,11.605738500032716
1,s_3,44.362713220947725
1,s_4,47.87074056514336
1,s_5,45.35684029808459
2,s_1,23.943741848692465
2,s_2,14.604902278191208
2,s_3,52.29004873758999
2,s_4,24.181179181718946
2,s_5,43.21767727064928
3,s_1,24.081600707032802
3,s_2,13.644448215911229
3,s_3,43.58690952739758
3,s_4,75.2341412084522
3,s_5,35.803228717066546
4,s_1,25.10247129304019
4,s_2,17.052085604628697
4,s_3,32.40648694078365
4,s_4,73.68971258286501
4,s_5,35.53699987664329
5,s_1,19.02859823385855
5,s_2,6.691986296952436
5,s_3,51.83166274192083
5,s_4,22.79471281599614
5,s_5,42.636637519628344
6,s_1,27.278473255089352
6,s_2,15.263788131736765
6,s_3,43.23301625385927
6,s_4,47.6363165407231
6,s_5,45.5329284045384
7,s_1,21.125911500320278
7,s_2,43.151336266139175
7,s_3,54.45637303619805
7,s_4,53.38405502463531
7,s_5,23.640451901570646
8,s_1,25.480161085965676
8,s_2,23.938043160541795
8,s_3,68.4834658538208
8,s_4,79.01837272031713
8,s_5,30.790439246854813
9,s_1,25.675880716046493
9,s_2,15.573095432340626
9,s_3,44.0642981506405
9,s_4,48.3111006941797
9,s_5,44.08880659006747
10,s_1,23.33078794389316
10,s_2,7.283396863473158
10,s_3,50.58854870673656
10,s_4,23.592509122240237
10,s_5,45.434879167268136
11,s_1,22.10551385557524
11,s_2,18.833692363674057
11,s_3,35.97477861539259
11,s_4,74.7983304525535
11,s_5,31.047986366013877
12,s_1,26.357572200614754
12,s_2,13.476973144877482
12,s_3,42.067206784417436
12,s_4,74.59235548209409
12,s_5,38.85623643458074
13,s_1,23.016005045510127
13,s_2,18.67628520372082
13,s_3,60.15410500704893
13,s_4,48.18077436925029
13,s_5,35.836946493962614
14,s_1,27.360736307605404
14,s_2,12.084924290154019
14,s_3,44.82541922701574
14,s_4,48.05618167892096
14,s_5,47.22672662804503
15,s_1,35.853682735751526
15,s_2,18.96888247502255
15,s_3,37.256435758974526
15,s_4,40.98548489924734
15,s_5,43.28566091539841
